,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,brake type,electric assist,handlebar type,suspension,make / manufacturer,model name / number,part type,size / dimensions,serial number
3126,30.0,humboldt,https://humboldt.craigslist.org/bik/d/arcata-kids-bikes/7472475976.html,2022-04-17 12:56,2 kids bikes, other/unknown, kids, Not sure, other/unknown,2,2 kids bikes. $30 each. Pick up in Arcata.,,,,,,,,,,
3127,1200.0,humboldt,https://humboldt.craigslist.org/bik/d/arcata-buying-1970s-80s-bmx-bikes-parts/7471248319.html,2022-04-17 07:30,Buying 1970’s-80’s Bmx bikes/parts/gear/ and more, other/unknown, bmx, Unknown, other/unknown,2,"bicycle frame material: other/unknown  bicycle type: bmx  frame size: Unknown  wheel size: other/unknown   A long time bmx collector Buying complete B.m.x. , Freestyle bikes, Crusiers 24”&26” magazines, parts, racing gear , memorabilia, and much more.  1)Email picture of what you have  Old and rusty broken down bikes wanted as well See sample pics  I pay better and easier to work with   200-1200$ for correct stuff",,,,,,,,,,
3128,15.0,humboldt,https://humboldt.craigslist.org/bab/d/mckinleyville-kid-bikes/7465936212.html,2022-04-01 22:14,Kid bikes,,,,,2,Boy bike 30 Toddler bike 15 W/o horn   You pick up Need homes asap!, fair,,,,,,,,,
3129,100.0,humboldt,https://humboldt.craigslist.org/bik/d/cutten-vintage-diamondbacks-and-newer/7465871766.html,2022-04-01 17:13,2 vintage diamondbacks and 2 newer mongoose bikes, other/unknown, bmx, 20, 20 in,0,2 vintage diamondback bikes 1 topanga and the other a ascent large frame. Also 2 mongoose kids bikes. One is the stranger things edition.  Not all of them in the best shape. All have rust. 100.00 obo for all Text is best.,,,,,,,,,,
3130,123.0,humboldt,https://humboldt.craigslist.org/bik/d/scotia-bikes/7461358401.html,2022-03-22 00:04,bikes, other/unknown, cruiser, medium?, other/unknown,0,"Need gone, cleaning the place up and they've just been floating around over time Make an offer", fair, other/unknown, none, other/unknown, other/unknown,,,,,
3131,225.0,humboldt,https://humboldt.craigslist.org/bik/d/eureka-20-speed-cleary-owl-kids-bikes/7460878269.html,2022-03-20 19:36,"20"" 3 Speed Cleary Owl Kids Bikes", alloy, kids," Kids 20""", 20 in,7,"We have 2- 20"" Cleary Owl Kids bikes for sale. One is pink and the other is blue.  Both have been upgraded to the internally geared Sturmey Archer 3 speed hub. Each bike also has upgraded mountain bike pedals and mountain bike tires. We will include the single speed wheels, street tires and original pedals with the purchase. These bikes are designed for kids ages 5-7 with an inseam measurement of 19-23"". Both bikes were purchased locally from Revolution Bicycles at the end of 2020. We are asking $225 a piece or $400 for both bikes.", good, caliper,,, none (rigid), Cleary, Owl,,,
