,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,make / manufacturer,model name / number,suspension,brake type,electric assist,handlebar type,paint color,part type,serial number,size / dimensions
30627,115.0,cleveland,https://cleveland.craigslist.org/bik/d/lakewood-bikes/7461229375.html,2022-03-21 18:03,Bikes (3), aluminum, mountain, Normal Size, 27.5 in,8,"Spring is here folks!  Bikes (3) For Sale $115 (obo)  Used - Fair 3 Bikes (2 Mongoose & 1 Huffy).   They need to be refreshed (inner tubes, dust, & a little rust).",, Mongoose,,,,,,,,,
30628,135.0,cleveland,https://cleveland.craigslist.org/bop/d/sheffield-lake-saris-bike-trunk-rack/7461671164.html,2022-04-18 19:49,Saris 2-Bike Trunk Rack,,,,,6,"This is a Saris Bike Rack that can be used for 1 or 2 bikes. We bought it at a bike shop last summer and only used it a handful of times. It is like new, in excellent condition. We recently purchased a SUV and now we are using a trailer hitch type rack. This is a great deal, as we paid $200.  We also have a Saris Bike Beam that we are selling in a separate listing, that is used to hang a ladies or specialty bike.",,,,,,,,,,,
30629,100.0,cleveland,https://cleveland.craigslist.org/for/d/mantua-allen-bike-rack/7470501621.html,2022-04-18 19:39,Allen 5 Bike rack,,,,,6,Allen 5bike rack never used. 2” receiver 28 inch lawn carry arms individually secures the bicycles with its patented down system folding carrying arms quickly drop down out-of-the-way when rack is not use sets up in minutes sturdy steel construction with black powder coat finish great way for carrying your bikes on vacation or to a local park or carry game while deer hunting, new, Allen, 552rr,,,,,,,,
30630,480.0,cleveland,https://cleveland.craigslist.org/bik/d/cleveland-1984-claud-butler-brevet-12/7469173202.html,2022-04-18 18:25,"1984 Claud Butler Brevet, 12 speed, 60 cm road bike",,,,,0,,,,,,,,,,,,
30631,600.0,cleveland,https://cleveland.craigslist.org/bik/d/cleveland-1972-mondia-special-10-speed/7469173340.html,2022-04-18 18:25,"1972 Mondia Special, 10 speed, 57 cm road bike, Swiss made",,,,,0,,,,,,,,,,,,
30632,170.0,cleveland,https://cleveland.craigslist.org/bik/d/cleveland-1984-ross-signature-290s-54/7469455095.html,2022-04-18 18:25,"1984 Ross Signature 290S, 54 cm, 12 speed, made in USA",,,,,0,,,,,,,,,,,,
30633,230.0,cleveland,https://cleveland.craigslist.org/bik/d/cleveland-gary-fisher-paragon-21-speed/7469455647.html,2022-04-18 18:25,"Gary Fisher Paragon, 21 speed, 21"" large frame, made in USA", aluminum, mountain," 21""", 25 in,11,"Beautiful condition, the bike is tune-up and ready to ride. A few scratches, but no other damages. New cables, grips and seat 21 Aluminum Flite 6061 frame and front fork shock Rock Shox Magnesium. 21 speed Shimano Deore LX group with a Deore XT rear derailleur. Triple Shimano Deore LX crank set. 26"" Weinmanm alloy wheels, with good tires, Deore LX hubs. Both wheels have quick release. Two bottle cages. Price: 230$, call: 216 sevenzerofour 57sixsix. Please no emails.  Trades are OK. I'm interested in older bikes: 30's, 40's, 50's balloon tires bikes, working or not, complete or not, rusty or not. And I am interested in 60's, 70's, 80's, 90's road/ touring bikes. Let me know what do you have",,,, suspension fork (hardtail),,,,,,,
30634,130.0,cleveland,https://cleveland.craigslist.org/bik/d/cleveland-raleigh-mojave-speed-16-small/7469480766.html,2022-04-18 18:24,"Raleigh Mojave 2.0, 21 speed, 16"" small frame MTB", aluminum, mountain," 16"" small", 26 in,9,"Good condition, the bike is ready to ride. Nice paint. Small blemishes: the shifter covers have cracks. The bike is in good riding condition with strong brakes and shifting through all gears. Small frame, Atomic Aluminum tubing. 21 speed Shimano Altus components. Tektro brakes. Triple SR Suntour crank set. Front fork shock SR Suntour. 26"" alloy wheels. One place for a bottle cage. Price: 130$, call: 216 sevenzerofour 57sixsix. Please no emails.  Trades are OK. I'm interested in older bikes: 30's, 40's, 50's balloon tires bikes, working or not, complete or not, rusty or not. And I am interested in 60's, 70's, 80's, 90's road/ touring bikes. Let me know what do you have",,,, suspension fork (hardtail),,,,,,,
30635,350.0,cleveland,https://cleveland.craigslist.org/bik/d/cleveland-1977-free-spirit-mx1-bmx-bike/7469742234.html,2022-04-18 18:24,1977 Free Spirit MX1 bmx bike, steel, bmx, Small, 20 in,12,"Looks to be complete and as I believe with original parts, including the tires. Has a sticker near the bottom bracket market 3-77, which is the year of fabrication. The frame and fork are straight, no damages or repairs, but with scratches and some rust. The plates are complete, no damages, I don't think they are in the original position and they are attached with some plastic straps. The fenders have no cracks, but the green color is faded. The seat has some holes and rips. Good chrome on the wheels, they will clean nice. Original tires, the front is good, the rear is bad. See pictures for more details.  Price: 350$, call: 216 sevenzerofour 57sixsix. Please no emails.  Trades are OK. I'm interested in older bikes: 30's, 40's, 50's balloon tires bikes, working or not, complete or not, rusty or not. And I am interested in 60's, 70's, 80's, 90's road/ touring bikes. Let me know what do you have",,,,,,,,,,,
30636,290.0,cleveland,https://cleveland.craigslist.org/bik/d/cleveland-iverson-road-runner-speed/7469742255.html,2022-04-18 18:24,"Iverson Road Runner, 3 speed muscle bike", steel, other, Small, 20 in,10,"The bike is probably from the 70's. Looks to be complete with a wrong 3 speed shifter. The frame and fork are in good condition, some rust on the top tube, where was the original shifter. Good chrome on the fenders and sprocket, rust on the bars and rims. 20"" wheels. Front and rear hand brakes. The seat is in nice condition, marked Western Flyer. The bike is waiting for a restauration. Price: 290$ call: 216 sevenzerofour 57sixsix. Please no emails.  Trades are OK. I'm interested in older bikes: 30's, 40's, 50's balloon tires bikes, working or not, complete or not, rusty or not. And I am interested in 60's, 70's, 80's, 90's road/ touring bikes. Let me know what do you have",,,,,,,,,,,
