,Price,Location,URL,Date,Title,condition,make / manufacturer,model name / number,num image,text,paint color,year manufactured,bicycle frame material,bicycle type,frame size,wheel size,size / dimensions,brake type,electric assist,handlebar type,suspension,part type,serial number
1656,269.0,showlow,https://phoenix.craigslist.org/evl/mpo/d/apache-junction-harley-pipes-new-bagger/7470309961.html,2022-04-16 17:00,Harley pipes NEW Bagger Brothers. For touring bikes 2017-2023,,,,6,I have a brand new pair of Bagger brothers pipes.  4” inch New in box-   Call.  Mark. 602501513one,,,,,,,,,,,,,
1657,125.0,showlow,https://phoenix.craigslist.org/evl/bop/d/phoenix-bottom-bracket-brackets-for/7471293134.html,2022-04-16 16:36,Bottom bracket brackets for mountain bikes, excellent,,,3,"7 in total, take them all.  Various threaded and (1) press fit, all 24mm spindle (shimano standard).  I don't keep junk around so these are all in good condition.  No haggle price, no questions, just need them gone.  2 of them are brand new.  If you are the guy who wants just one, $39 for choice.  No offers.  I-10 and Chandler Blvd",,,,,,,,,,,," crankset, bottom bracket, guards",
1658,15.0,showlow,https://phoenix.craigslist.org/evl/bik/d/gilbert-mongoose-mountain-bikes/7472203643.html,2022-04-16 14:54,Mongoose Mountain Bikes,,,,0,,,,,,,,,,,,,,
1659,4100.0,showlow,https://phoenix.craigslist.org/evl/bik/d/phoenix-2019-niner-rip-rdo-star-x01/7472174770.html,2022-04-16 13:41,2019 Niner RIP 9 RDO 4 star X01, excellent, Niner Bikes, RIP 9 RDO 4 star X01,13,"Selling a super clean Niner RIP 9, carbon frame size Medium a couple paint chips on rear triangle normal from desert riding, bike has been upgraded to Fox Transfer Kashima Coat dropper post,  Fox 36 Kashima Coat fork 150mm, Fox Factory DPX2 Kashima Coat rear shock, 29 Stan's Flow ZTR wheels,  Maxxis Minion tubeless tires,  1x12 Sram X01 drive train carbon crankset,  Sram Guide RSC hydraulic disc brakes,  new flat pedals. Bike is tuned and ready to ride. Asking $4200 or best offer.  Thanks for looking.      Tags, specialized,  trek , giant,  yeti,  yt,  Cannondale,  niner....",,, carbon fiber, mountain, medium, 29 in,, disc (hydraulic),,, frame and fork (full suspension),,
1660,50.0,showlow,https://phoenix.craigslist.org/evl/bop/d/chandler-thule-bike-carrier-holds-two/7470812175.html,2022-04-16 11:41,Thule Bike Carrier - Holds Two Bikes - Adjustable - Great Condition,,,,2,Bike Carrier Made by thule  Fits any trunk top of any car Holds Two Bikes Adjustable  Fits any trunk  Great condition  show contact info,,,,,,,,,,,,,
1661,400.0,showlow,https://phoenix.craigslist.org/nph/bik/d/scottsdale-2016-se-racing-mini-ripper/7459687103.html,2022-04-16 10:42,"2016 SE Racing Mini Ripper 20"" BMX Race bike",,,,0,,,,,,,,,,,,,,
1662,125.0,showlow,https://phoenix.craigslist.org/evl/bik/d/payson-trail-bikes-for-sale-125-each/7472080386.html,2022-04-16 10:26,Trail a Bikes (2 for sale $125 each), good,,,5,"Two trail a bikes. In great condition. Asking $125 each.  Steel frame, designed for children aged 4-6 Simple single-speed is easy to pedal and ride Folding frame for easy storage and transport Compatible with most 26"" bicycles Low center of gravity offers increased stability to parents and children Best-in-class steel hitch will fit almost any seatpost Full chainguard and bashguard for enhanced durability  I am in Payson - and willing to meet you the next time I am in Phoenix.",,, other/unknown, kids, Trail a Bikes, other/unknown,, other/unknown, none, other/unknown, none (rigid),,
1663,750.0,showlow,https://phoenix.craigslist.org/evl/bik/d/scottsdale-electric-bikes/7472078387.html,2022-04-16 10:22,Electric Bikes, like new, Ancheer Vivi,,8,"I bought 4 bikes and only two are getting used.  One step thru (Vivi) and one cruiser (Ancheer).  Will go up to 40 miles on peddle assist.  I added phone holders, mirror and speedometer.  Lots of fun.   Please call Alan if your interested.  I’m not negotiating on price. $750 EACH",,, steel, cruiser, 26”, 26 in,, caliper, pedal assist, cruiser, suspension fork (hardtail),,
1664,35.0,showlow,https://phoenix.craigslist.org/evl/bik/d/mesa-kids-next-bikes/7472013373.html,2022-04-16 08:15,2 kids NEXT bikes,,,,0,,,,,,,,,,,,,,
1665,20.0,showlow,https://tucson.craigslist.org/tag/d/tucson-new-in-box-kids-boys-girls/7464350815.html,2022-04-16 06:52,new in box kids boys girls balance bikes,,,,2,new in box kids boys girls balance bikes Fivetwozerofourzerosixninesixnineone,,,,,,,,,,,,,
