,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,model name / number,suspension,wheel size,num image,text,size / dimensions
1170,1700.0,juneau,https://juneau.craigslist.org/bik/d/juneau-carbon-cannondale-superx-ultegra/7470580263.html,2022-04-12 16:59,Carbon Cannondale SuperX Ultegra, carbon fiber, cyclocross, disc (hydraulic), good, none, 56cm, drop, Cannondale, SuperX, none (rigid), 700C,7,"Carbon fiber 2016 Cannondale SuperX cyclocross / gravel bike with Ultegra groupset. 56 cm, I've had riders from 5'9"" to 6'2"" fit comfortably. 2017 model, has typical cosmetic wear and tear (pictured) but is mechanically sound. Ultegra shifters and derailleurs, hydraulic disc brakes. I'm the original owner and have the original manual. Currently on nearly new Specialized Pathfinder tires, great for urban and gravel riding. No room to keep this and two other bikes, so I'm consolidating.",
1171,175.0,juneau,https://juneau.craigslist.org/bik/d/auke-bay-youth-kona-makena/7469962905.html,2022-04-18 09:21,Youth Kona Makena, steel, kids,,,, 11 inches,,,,, other/unknown,3,"11"" youth Kona bike",
1172,110.0,juneau,https://juneau.craigslist.org/bik/d/auke-bay-huffy-stone-mountain-bike/7471915708.html,2022-04-17 22:39,Huffy Stone Mountain bike,,,,,,,,,,,,0,,
1173,110.0,juneau,https://juneau.craigslist.org/bik/d/auke-bay-magna-great-divide-bike/7471914442.html,2022-04-17 22:39,Magna Great Divide bike,,,,,,,,,,,,0,,
1174,260.0,juneau,https://juneau.craigslist.org/bik/d/auke-bay-rocky-mountain-disc-brake-bike/7471913109.html,2022-04-17 22:39,Rocky Mountain disc brake bike, aluminum, mountain, disc (mechanical),,, medium,, Rocky Mountain, Flare, suspension fork (hardtail), 26 in,0,"18"" aluminum frame front suspension disc brake 24 speed Rocky Mountain Flare. New comfort seat, chain, brake pads, brake cables and shifter cables. Tuned and rides great. Tires are really good.",
1175,2000.0,juneau,https://juneau.craigslist.org/snw/d/auke-bay-2012-yamaha-tt-125le/7466100918.html,2022-04-17 09:05,2012 Yamaha TT-R 125LE,,,,,,,,,,,,0,,
1176,750.0,juneau,https://juneau.craigslist.org/bop/d/auke-bay-kona-dawg-primo/7470612102.html,2022-04-16 14:08,Kona Dawg Primo,,,, excellent,,,, Kona, Dawg Primo,,,3,"Well cared for Kona Dawg Primo with a fox Talus 32 front and float rp23 rear full suspention mountain bike. Medium/large-  Im running a long stem and am 6ft1.  Rides great for shorter riders with stock stem as well.  Raniaco computer, new grips - ready for the summer season.  907five 0045 nine 9",
1177,160.0,juneau,https://juneau.craigslist.org/bik/d/auke-bay-trek-800-bike/7471916804.html,2022-04-15 21:41,Trek 800 bike, other/unknown, mountain,,,, 17,, Trek, 800,, 26 in,0,"17"" frame 21 speed trek 800.  New cassette, chain, front derailleur, shifters, brake pads, brake cables and shifter cables.  Tuned and rides nice.  Tires are excellent.  Comes with front and rear fenders, drink holder, cargo rack, cargo bag.  A perfect commuter",
1178,120.0,juneau,https://juneau.craigslist.org/bik/d/auke-bay-schwinn-high-timber-aluminum/7471916257.html,2022-04-15 21:36,Schwinn High Timber Aluminum bike, aluminum, mountain,,,, medium,, Schwinn, High Timber, suspension fork (hardtail), 26 in,0,"Aluminum frame 21 speed front suspension Schwinn mountain bike.  New shifters, freewheel, chain, rear derailleur, brake pads, brake cables and shifter cables.  Tuned and rides nice.",
