,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,make / manufacturer,model name / number,size / dimensions,brake type,electric assist,handlebar type,suspension,part type
11296,80.0,chicago,https://chicago.craigslist.org/nwc/bid/d/all-girls-24-inch-hybrid-mountain-bikes/7467517815.html,2022-04-05 18:42,All Girls 24 inch Hybrid /Mountain bikes Start at, aluminum, mountain, Different sizes, 24 in,23,$165  Girls 24 inch Schwinn Ranger Hybrid Bike has F/R hand brakes Kickstand Front Shock 21 speeds Quick Release Front Wheel all tuned up ready to ride.  $285 Girls 24 inch Specialized Hot Rock Hybrid/Mountain bike Like Brand New has F/R hand brakes Kickstand Front Shock 12 inch Short Frame 7 Speeds All tuned up ready to ride.  $165  Girls 24 inch Huffy La Jolla Cruiser Has Sigle Speed Kickstand F/R Fenders Basket Wide Seat Wide Tires 14 inch Frame All tuned up ready to ride.  $90 Girls 24 inch Rallye Incline Mountain bike Has F/R hand brakes Kickstand Front Shock 21 Speeds 14 inch Frame tuned up ready to ride   $100 Girls 24 inch Huffy Mountain bike has F/R hand brakes Kickstand 15 inch Frame 15 speeds All tuned up ready to ride.  $160 Girls 24 inch Schwinn Ranger has F/R hand brakes 21 speeds Kickstand Front Shock 16 inch Short Frame All tuned up ready to ride.  $225 Girls 24 inch Trek 200 Mountain bike has F/R hand brakes Kickstand 7 Speeds 12 inch Frame All tuned up ready to ride.  $160 Girls 24 inch Schwinn Traverse Mountain bike has F/R hand Brakes Kickstand 21 Speeds 15 inch Short Frame Front Shock Quick Release Front Wheel All tuned up ready to ride.  $125 Girls 24 inch Schwinn Ranger mountain bike has F/R hand brakes Kickstand 21 speeds 12 inch Short Frame Quick Release Front Wheel Water Bottle holder All tuned up ready to ride.   $160 Girls 24 inch Jamis Capri Hybrid Bike has F/R hand brakes Kickstand 13 inch Frame short 21 Speeds All Tuned up ready to ride.  $160 Girls 24 inch Schwinn High Plains Mountain bike has F/R hand brakes Kickstand Front Shock 21 speeds 12 inch Short Frame for shorter Girls or women all tuned up ready to ride.  $150 Girls 24 inch Huffy Trailer Runner Dual Suspension Mountain bike has F/R hand brakes 18 speeds Kickstand 15 inch Short Frame all tuned up ready to ride.  $275 Girls 24 inch Trek 220 Mountain bike has 12 Inch Short Frame F/R hand brakes Kickstand Front Shock 21 speeds all tuned up ready to ride.  $170 Girls 24 inch Schwinn Byway Mountain bike has F/R hand brakes Front Shock 21 speeds 15 inch Short Frame water bottle holder kickstand Aluminum Frame all tuned up ready to ride.  $160 Girls 24 inch Schwinn Ranger Mountain bike has Kickstand F/R hand brakes 21 Speeds Front Shock Aluminum Frame 16 inch Short Frame Quick Release Front wheel all tuned up ready to ride.  $160 Girls 24 inch Huffy Trail Runner Dual suspension Mountain bike has F/R hand brakes Kickstand 21 speeds like New 15 inch Frame All tuned up ready to ride.  $160 Girls 24 inch Trek 220 Mountain bike has F/R hand brakes Kickstand 21 speeds 13 inch Short Frame for short Girls all tuned up ready to ride.  $150 Girls 24 inch Diamond Back Tess Mountain bike has F/R hand brakes Front Shock 13 inch XS Small Frame for short Girls kickstand All Tuned up ready to ride.  $165 Girls 24 inch Diamond Back Tess Mountain bike has F/R hand brakes Kickstand 21 speeds 13 inch Short Frame Front Shock all tuned up ready to ride.  $275 Girls 24 inch Specialized Hot Rock Mountain bike has F/R hand brakes kickstand 7 speeds Short Frame 12 inch Aluminum Frame Front Shock all tuned up ready to ride.  $150 Girls 24 inch Mongoose Stormer Mountain bike has F/r hand brakes kickstand 21 speeds 13.5 inch Frame all tuned up ready to ride.  $80 Girls 24 inch Magna Mt Tamer Hybrid bike has F/R hand brakes 21 speeds 17 inch Frame kickstand all tuned up ready to ride.  $165 Girls 24 inch Dbx Resonance Mountain bike has F/R hand Brakes 13.5 inch Short Frame Quick Release Front wheel 21 speeds Front shock all tuned up ready to ride.  $170 Girls 24 inch Schwinn High Plain Hybrid bike has F/R hand brakes 12 inch Short Frame water bottle holder kickstand 21 speeds Front shock Quick Release Front wheel all tuned up ready to ride.  $180 Girls 24 inch Schwinn Joy Hybrid bike has F/R hand brakes 21 speeds Quick Release front wheel 12 inch Short Frame kickstand this is a bike shop Schwinn Not a Walmart one all tuned up ready to ride.  $145 Girls 24 inch Magna Electro Shock Mountain bike has F/R hand brakes Kickstand Front shock 18 speeds 17 inch Frame all tuned up ready to ride., good,,,, cantilever,, riser, suspension fork (hardtail),
11297,150.0,chicago,https://chicago.craigslist.org/nwc/bid/d/marengo-men-2629-mountain-bikes-page/7467518077.html,2022-04-05 18:42,"Men 26,29, Mountain bikes Page 1 Start At", aluminum, hybrid/comfort, Different sizes, 700C,22,$185 Men 26 inch Royce Union Mountain bike has F/R hand brakes 21 Speeds Quick Release Front Wheel Water Bottle holder Kickstand Trigger Shifters all tuned up ready to ride.  $400 Men 26 inch Giant Rincon Hybrid/Mountain bike XXL Frame 23.5 inch F/R hand brakes Kickstand 2 Water Bottle holders 21 Speeds Brand New Seat New tires New Pedals All tuned up ready to ride.  $285  Men 26 inch Columbia Trail Head Sport XL Frame 21.5 inch F/R hand brakes Kickstand Front Shock 21 Speeds Quick Release Front Wheel All tuned up ready to ride.  $150 Men 26 inch Hyper Havoc Dual Suspension Mountain bike has F/R hand Brakes Dual Shocks Kickstand 21 speeds 17 inch Frame all tuned up ready to ride.  $250 Men 26 inch Diamond Back Wildwood Mountain bike has 20 inch XL Frame F/R hand brakes Kickstand Front Shock Water Bottle holder Quick Release Wheels All tuned up ready to ride.  $225 Men 26 inch Schwinn Jaguar Beach Cruiser 7 Speed Kickstand 18 inch Frame F/R hand brakes Wide Seat wide Tires All tuned up ready to ride.  $250 Men 26 inch Diamond Back Sorrento Mountain bike has F/R hand brakes Kickstand 21 speeds 21 inch XL Frame Water Bottle holder all tuned up ready to ride.  $180 Men 26 inch Jamis Explorer Hybrid/Mountain bike has 15 inch Short Frame 21 speeds water Bottle holder F/R hand brakes Front Shock Aluminum Frame All tuned up ready to ride.  $150 Men 26 inch Magna Great divide Mountain bike has F/R hand brakes 21 Speeds Kickstand Front Shock 18 inch Frame All tuned up ready to ride.  $165 Men 26 inch Auto Bike classic has F/R hand brakes Kickstand 20 inch XL Frame Shifts Automatically All tuned up ready to ride   $200 Men 26 inch Schwinn Frontier Mountain bike has 18 Speeds 23 inch XL Frame F/R hand brakes kickstand all tuned up ready to ride.  $165 Men 26 inch Hyper Mixx Fs dual Suspension Mountain bike has F/R hand brakes Kickstand 21 Speeds 17 inch Frame Aluminum Frame all tuned up ready to ride.  $185 Men 26 inch Mongoose XR 100 Dual Suspension Mountain bike has F/R hand brakes 21 speeds 18.5 inch Frame Aluminum Frame F/R Shocks all tuned up ready to ride.   $165 Men 26 inch Mongoose Stand Off Dual Suspension Mountain bike has F/R hand brakes Kickstand 18 inch Frame 21 speeds F/R Shocks all tuned up ready to ride.  $150 Men 26 inch Quasar Bounty Mountain bike Has F/R hand brakes Kickstand 18 speeds 17 inch Frame All tuned up ready to ride.  $185 Men 26 inch Mongoose Dual suspension Mountain bike has aluminum Frame F/R hand brakes Kickstand F/R Shocks 21 speeds 18 inch Frame all tuned up ready to ride.  $190 Men 26 inch Raleigh M20 Mountain bike has F/R hand brakes Kickstand 21 Speeds 15 inch Short Frame for short Men or Boys Quick Release Front Wheel all tuned up ready to ride.  $225 Men 26 inch Schwinn Cruiser 5 Speed Has F/R hand brakes Wide tires Wide Seat Kickstand Heavy Duty Rims and Spokes 18 inch Frame all tuned up ready to ride.  $185 Men 26 inch Huffy Hawthorne Mountain /Hybrid bike has F/R hand brakes Kickstand 21 speeds 18 inch Frame water bottle holder Quick Release Front wheel Front shock all tuned up ready to ride.  $150 Men 26 inch Huffy Key Largo Beach Cruiser has Kickstand Wide Seat wide tires Rear Coaster Brake Single speed all tuned up ready to ride.  $185 Men 26 inch Schwinn Frontier Mountain bike has F/R hand brakes Kickstand 18 speeds Aluminum Wheels 17 inch Frame All tuned up ready to ride this is a Schwinn From a Schwinn Bike shop Not Walmart there is a Difference.   $250 Men 26 inch Like New Schwinn Delmar Cruiser single speed F/R Fenders kickstand Luggage rack Wide tires wide seat 18 inch Frame all tuned up ready to ride.  $225 Men 29 inch Mongoose Excursion Mountain bike Has F/R hand brakes Kickstand Front Shock 21 Speeds 19 inch Large Frame All tuned up ready to ride., good,,,, cantilever,, riser, suspension fork (hardtail),
11298,125.0,chicago,https://chicago.craigslist.org/nwc/bid/d/marengo-men-700c-26-inch-hybrid-road/7467517462.html,2022-04-05 18:41,Men 700c/26 inch Hybrid /Road Bikes start at, aluminum, hybrid/comfort, Different sizes, 700C,13,$150 Men 26 inch Road Master 10 Speed road Bike has Kickstand F/R hand brakes 20 inch Large Frame Brand New Tires all tuned up ready to ride.  $350 Men 700c Gary Fisher Zebrand  Made By Trek Hybrid bike has F/R hand brakes 21 Speeds Water Bottle holder Front Shock Quick Release Wheels built in Shock in the seat post Trigger Shifters 17.5 in Frame Bike lock All tuned up ready to ride.  $575 Men 26 inch Like New Townie Electra Hybrid bike has F/R hand brakes Kickstand Large Frame Quick Release Wheels 21 Speeds Comfort Handle bars Comfort Seat Luggage Rack Front Shock All tuned up Ready To ride.  $450 Men 700c Giant Cypress Hybrid Like Brand New XXL Frame 22 inch F/R hand brakes Kickstand Quick Release Wheels 21 Speeds Water Bottle holder Front Shock Aluminum Frame Handle bar Light Rear Light Built in Shock on the seat post All tuned up Ready to ride.  $100 Men 27 inch Schwinn Continental 10 speed Road Bike F/R hand brakes Kickstand all tuned up ready to ride.  $195 Men 700c Mongoose Crossway Hybrid bike Large Frame has F/R hand brakes Kickstand 21 Speeds 20.5 inch Large Frame for taller Men or Boys All tuned up ready to ride.  $185 Men 700c Hyper Spin Fit Hybrid Bike has F/R hand brakes Kickstand 17 inch Short Frame Aluminum Frame 21 Speeds All Tuned up Ready to ride.  $195 Men 700c Diamond Back Approach Hybrid bike has F/R hand brakes Kickstand 21 Speeds 19.5 inch Frame All tuned up ready to ride.   $180 Men 26 inch Schwinn Woodlands Hybrid bike has Kickstand 19 inch Frame Water Bottle holder Luggage Rack Quick Release Front Wheel 21 speeds F/R hand brakes All tuned up ready to ride.  $185 Men 700c Road Master Adventures Hybrid bike has F/R hand brakes Quick Release Wheels 24 Speeds 18 inch Frame kickstand All tuned up ready to ride.  $450 Men 27 inch Bianchi Sport SX 10 speed road bike has F/R hand brakes Pedal Clips Quick Release wheels XXL Frame 25 inch For guys over 6 feet tall all tuned up ready to ride.  $175 Men 700c Schwinn Prelude Road bike Very Light Has Kickstand F/r hand brakes 25 inch XXL Frame 2 Water Bottle holders 14 Speeds all tuned up ready to ride.  $160 Selling a used Men 700c KHS Brentwood Hybrid bike has kickstand F/R hand brakes 21 speeds Quick Release front wheel 13.5 inch Short Frame water bottle holder all tuned up ready to ride., good,,,, cantilever,, riser, suspension fork (hardtail),
11299,65.0,chicago,https://chicago.craigslist.org/nwc/bid/d/marengo-all-boys-24-inch-mountain-bikes/7467517657.html,2022-04-05 18:41,All Boys 24 inch Mountain Bikes Look Here Start at, aluminum, mountain, Different sizes, 24 in,14,$160 Boys 24 inch Giant MTX Mountain bike has F/R hand brakes Kickstand Front Shock 15 inch Short Frame 21 speeds All tuned up ready to ride.  $285 Boys 24 inch Trek Pre Caliber Mountain bike Like New Has F/R hand brakes Kickstand 7 Speeds 12 inch Short Frame for shorter boys All tuned up ready to ride.  $160 Boys 24 inch Schwinn High Timber Mountain bike has F/R hand brakes Kickstand Front Shock Quick Release Front Wheel Water Bottle holder 21 Speeds 15 Inch Short Frame All tuned up ready to go.  $160 Boys 24 inch Mongoose Excursion mountain bike Disc Brake Kickstand 14 inch Frame 21 Speeds Front Shock all tuned up ready to ride.  $165 Boys 24 inch Diamond Back Octane Short Frame Mountain bike Has F/R hand brakes Kickstand Front Shock 21 Speeds 12 inch Very Short Frame for short Men or Boys All tuned up ready to ride.  $150 Boys 24 inch Pacific Evolution Mountain bike has F/R hand brakes Kickstand Front Shock 16 inch Short Frame 18 speeds All tuned up ready to ride.  $225 Boys 24 inch Fuji Dynomite Mountain bike has F/R hand brakes Kickstand 7 Speeds Front Shock Rear Pegs All tuned up ready to ride.  $160 Boys 24 inch Next Gauntlet Dual Suspension Mountain bike Kickstand 21 Speeds 17 inch Frame All tuned up ready to ride.  $145 Boys 24 inch Road Master Granite Peak Mountain bike Has F/R hand brakes Kickstand 15 inch Short Frame 18 Speeds Front Shock All tuned up ready to ride.  $170 Boys 24 inch Mongoose Excursion Mountain bike has F/R hand brakes 21 speeds Kickstand 14 inch Frame Front Shock All Tuned up ready to ride.  $160 Boys 24 inch Specialized Hot Rock Mountain bike has F/R hand brakes 21 speeds Aluminum Frame 12 inch Frame for short Boys all tuned up ready to ride this is a Bike Shop Bike Not Walmart.  $160 Boys 24 inch Nishiki Pueblo Mountain bike has F/R hand brakes Kickstand 7 speeds all tuned up ready to ride., excellent,,,, cantilever,, riser, suspension fork (hardtail),
11300,750.0,chicago,https://chicago.craigslist.org/nch/spo/d/verona-treadmill-elliptical-bikes-top/7455801419.html,2022-04-05 09:07,Treadmill/Elliptical & bikes. Top of the line Commercial,,,,,0,,,,,,,,,,
11301,75.0,chicago,https://chicago.craigslist.org/nch/bik/d/evanston-75-for-bikes/7467086557.html,2022-04-04 19:08,$75 for 3 bikes, aluminum, other, 19, 26.5 in,3,$75 for all 3 bikes. All bikes ride smoothly. Red bike and the Schwinn have some minor issues. Yellow road bike is fully functional. Follow up for details. Welcome to ride bikes first. Location is Evanston., good, Varies, Schwinn,,,,,,
11302,130.0,chicago,https://chicago.craigslist.org/nwi/wan/d/crown-point-bikes-mountain-bike/7455037173.html,2022-04-04 17:47,Bikes / Mountain bike,,,,,0,,,,,,,,,,
11303,125.0,chicago,https://chicago.craigslist.org/wcl/bik/d/batavia-early-70s-mens-womens-schwinn/7466196022.html,2022-04-02 15:24,2 early 70’s Mens & Womens Schwinn bikes, steel, cruiser, 21-womens  26 mens, 27 in,2,10 speed Schwinn continental bikes.  Copper color womens bike with 21 inch frame and 27 inch wheel size.  Yellow color mens bike with 26 inch frame and 27 inch wheel size.  125.00/bike or 200.00 for both. Both sets of tires will probably need to be replaced.  The bikes haven’t been ridden in about 20 years and have been hanging on racks in our garage. Feel free to ask questions., fair, Schwinn, Continental,, caliper,,,,
11304,1000.0,chicago,https://chicago.craigslist.org/chc/bik/d/chicago-fat-tire-bike/7453517992.html,2022-04-02 13:51,Fat tire bike, aluminum, other, 56cm, 26 in,12,"SE BIKES Tubeless Fat Tires with Shimano hydraulic brakes, 710 KENDA TIRES almost brand new with a lot the accessories size 56cm  with front & back Fender, including bike lock, backpack on the frame and back seat with two water bottles holding in front, great gel seat. Tires 26+, also profile design aero bars, with SHIMANO DEORE XT M8000 SERIES VERY POWERFUL.", like new, SE BIKES,,, hydraulic rim brakes,,,,
11305,1.0,chicago,https://chicago.craigslist.org/chc/bik/d/chicago-kids-bike-16-inch/7465833806.html,2022-04-01 17:29,Kids bike - 16 inch, aluminum, kids, Kids size, 16 in,0,16-inch kids bike in Used/Like New condition.   SE BIKES 16 inch BMX bike similar to this model that lists for $290 retail. https://www.sebikes.com/products/2021-bronco-16?variant=31967096275042  $200   Located in Logan Square for meetup/pickup,, SE Bikes,,,,,,,
